datetime,location_id,parameter_id,parameter_value
2010-06-23,sha,15,4342663
2010-06-24,sha,15,4333975
2010-06-25,sha,15,4327026
2010-06-26,sha,15,4318917
2010-06-27,sha,15,4310265
2010-06-28,sha,15,4301041
2010-06-29,sha,15,4290952
2010-06-30,sha,15,4279177
2010-07-01,sha,15,4266551
2010-07-02,sha,15,4254813
2010-07-03,sha,15,4242248
2010-07-04,sha,15,4230830
2010-07-05,sha,15,4218321
2010-07-06,sha,15,4205244
2010-07-07,sha,15,4191371
2010-07-08,sha,15,4178073
2010-07-09,sha,15,4163979
2010-07-10,sha,15,4151307
2010-07-11,sha,15,4137552
2010-07-12,sha,15,4122697
2010-07-13,sha,15,4109008
2010-07-14,sha,15,4094780
2010-07-15,sha,15,4080601
2010-07-16,sha,15,4066162
2010-07-17,sha,15,4051778
2010-07-18,sha,15,4036578
2010-07-19,sha,15,4021721
2010-07-20,sha,15,4006874
2010-07-21,sha,15,3991818
2010-07-22,sha,15,3977052
2010-07-23,sha,15,3962066
2010-07-24,sha,15,3947111
2010-07-25,sha,15,3931926
2010-07-26,sha,15,3917057
2010-07-27,sha,15,3901677
2010-07-28,sha,15,3886893
2010-07-29,sha,15,3872390
2010-07-30,sha,15,3856888
2010-07-31,sha,15,3841140
2010-08-01,sha,15,3825445
2010-08-02,sha,15,3811913
2010-08-03,sha,15,3795502
2010-08-04,sha,15,3780670
2010-08-05,sha,15,3765836
2010-08-06,sha,15,3751341
2010-08-07,sha,15,3737121
2010-08-08,sha,15,3724270
2010-08-09,sha,15,3711168
2010-08-10,sha,15,3697595
2010-08-11,sha,15,3685337
2010-08-12,sha,15,3673649
2010-08-13,sha,15,3663260
2010-08-14,sha,15,3653947
2010-08-15,sha,15,3644384
2010-08-16,sha,15,3634824
2010-08-17,sha,15,3622993
2010-08-18,sha,15,3612704
2010-08-19,sha,15,3603733
2010-08-20,sha,15,3594008
2010-08-21,sha,15,3584539
2010-08-22,sha,15,3575880
2010-08-23,sha,15,3564166
2010-08-24,sha,15,3555017
2010-08-25,sha,15,3546655
2010-08-26,sha,15,3537532
2010-08-27,sha,15,3526922
2010-08-28,sha,15,3518350
2010-08-29,sha,15,3509525
2010-08-30,sha,15,3500486
2010-08-31,sha,15,3491704
2010-09-01,sha,15,3483424
2010-09-02,sha,15,3475684
2010-09-03,sha,15,3468944
2010-09-04,sha,15,3460956
2010-09-05,sha,15,3452497
2010-09-06,sha,15,3444797
2010-09-07,sha,15,3437097
2010-09-08,sha,15,3428922
2010-09-09,sha,15,3419036
2010-09-10,sha,15,3403245
2010-09-11,sha,15,3395621
2010-09-12,sha,15,3388735
2010-09-13,sha,15,3382349
2010-09-14,sha,15,3377945
2010-09-15,sha,15,3373297
2010-09-16,sha,15,3370116
2010-09-17,sha,15,3366935
2010-09-18,sha,15,3365467
2010-09-19,sha,15,3363510
2010-09-20,sha,15,3360574
2010-09-21,sha,15,3356674
2010-09-22,sha,15,3353752
2010-09-23,sha,15,3350344
2010-09-24,sha,15,3346449
2010-09-25,sha,15,3342798
2010-09-26,sha,15,3338903
2010-09-27,sha,15,3335251
2010-09-28,sha,15,3330648
2010-09-29,sha,15,3325319
2010-09-30,sha,15,3318779
2010-10-01,sha,15,3314418
2010-10-02,sha,15,3311511
2010-10-03,sha,15,3308617
2010-10-04,sha,15,3303557
2010-10-05,sha,15,3297291
2010-10-06,sha,15,3293435
2010-10-07,sha,15,3289580
2010-10-08,sha,15,3286448
2010-10-09,sha,15,3282838
2010-10-10,sha,15,3280190
2010-10-11,sha,15,3277302
2010-10-12,sha,15,3275377
2010-10-13,sha,15,3272970
2010-10-14,sha,15,3270804
2010-10-15,sha,15,3267916
2010-10-16,sha,15,3265028
2010-10-17,sha,15,3262144
2010-10-18,sha,15,3258552
2010-10-19,sha,15,3254722
2010-10-20,sha,15,3251849
2010-10-21,sha,15,3249694
2010-10-22,sha,15,3247300
