datetime,dist_meters,location_id,location_name,sim_start_time,scenario_name,model_type,temp_50
2019-02-01,44569,and,airportroad,2019-05-21,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,50.271168
2019-02-02,44569,and,airportroad,2019-05-21,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,49.859104
2019-02-03,44569,and,airportroad,2019-05-21,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,49.75314
2019-02-04,44569,and,airportroad,2019-05-21,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,49.518753
2019-02-05,44569,and,airportroad,2019-05-21,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,49.188232
2019-02-06,44569,and,airportroad,2019-05-21,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,48.622322
2019-02-07,44569,and,airportroad,2019-05-21,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.601933
2019-02-08,44569,and,airportroad,2019-05-21,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.574722
2019-02-09,44569,and,airportroad,2019-05-21,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,46.585648
2019-02-10,44569,and,airportroad,2019-05-21,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.617382
2019-02-11,44569,and,airportroad,2019-05-21,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.452038
2019-02-12,44569,and,airportroad,2019-05-21,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.38543
2019-02-13,44569,and,airportroad,2019-05-21,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,45.016773
2019-02-14,44569,and,airportroad,2019-05-21,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,44.818634
2019-02-15,44569,and,airportroad,2019-05-21,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,46.512794
2019-02-16,44569,and,airportroad,2019-05-21,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.344814
2019-02-17,44569,and,airportroad,2019-05-21,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.25917
2019-02-18,44569,and,airportroad,2019-05-21,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.52754
2019-02-19,44569,and,airportroad,2019-05-21,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.358967
2019-02-20,44569,and,airportroad,2019-05-21,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.74995
2019-02-21,44569,and,airportroad,2019-05-21,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.745308
2019-02-22,44569,and,airportroad,2019-05-21,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.446037
2019-02-23,44569,and,airportroad,2019-05-21,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.492912
2019-02-24,44569,and,airportroad,2019-05-21,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,46.98741
2019-02-25,44569,and,airportroad,2019-05-21,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,46.64602
2019-02-26,44569,and,airportroad,2019-05-21,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.226078
2019-02-27,44569,and,airportroad,2019-05-21,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.91411
2019-02-28,44569,and,airportroad,2019-05-21,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,48.041832
2019-03-01,44569,and,airportroad,2019-05-21,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.78432
2019-03-02,44569,and,airportroad,2019-05-21,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.60245
2019-03-03,44569,and,airportroad,2019-05-21,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.93709
2019-03-04,44569,and,airportroad,2019-05-21,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.899567
2019-03-05,44569,and,airportroad,2019-05-21,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.76076
2019-03-06,44569,and,airportroad,2019-05-21,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,48.130825
2019-03-07,44569,and,airportroad,2019-05-21,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.894833
2019-03-08,44569,and,airportroad,2019-05-21,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.972805
2019-03-09,44569,and,airportroad,2019-05-21,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.441936
2019-03-10,44569,and,airportroad,2019-05-21,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,47.903313
2019-03-11,44569,and,airportroad,2019-05-21,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,48.189384
2019-03-12,44569,and,airportroad,2019-05-21,apr_24_2019_input_90_output_90_50l3mto,usbr_no_w2,48.345245
