draft_date,actual_upstream,actual_downstream
10/4/2010,778,9
10/5/2010,798,9
10/6/2010,789,9
10/7/2010,792,5
10/8/2010,781,3
10/9/2010,784,0
10/10/2010,694,0
10/11/2010,582,0
10/12/2010,564,0
10/13/2010,592,6
10/14/2010,612,13
10/15/2010,682,12
10/16/2010,725,9
10/17/2010,774,9
10/18/2010,758,8
10/19/2010,832,8
10/20/2010,872,4
10/21/2010,902,5
10/22/2010,1007,3
10/23/2010,1062,0
10/24/2010,1032,0
10/25/2010,1058,0
10/26/2010,1030,0
10/27/2010,1012,1
10/28/2010,1126,0
10/29/2010,1222,0
10/30/2010,1112,0
10/31/2010,1077,0
11/1/2010,1012,0
11/2/2010,962,0
11/3/2010,1038,0
11/4/2010,1239,0
11/5/2010,1279,0
11/6/2010,1279,0
11/7/2010,1279,0
11/8/2010,1634,0
11/9/2010,1779,0
11/10/2010,1880,1
11/11/2010,1934,1
11/12/2010,2093,1
11/13/2010,2097,1
11/14/2010,2082,1
11/15/2010,2079,1
11/16/2010,2155,1
11/17/2010,2107,1
11/18/2010,2090,6
11/19/2010,2040,7
11/20/2010,1988,7
11/21/2010,1873,7
11/22/2010,1855,11
11/23/2010,1829,12
11/24/2010,1696,12
11/25/2010,1716,12
11/26/2010,1770,12
11/27/2010,1720,12
11/28/2010,1717,12
11/29/2010,1734,12
11/30/2010,1658,11
12/1/2010,1657,4
12/2/2010,1549,5
12/3/2010,1551,4
12/4/2010,1485,4
12/5/2010,1434,5
12/6/2010,1399,6
12/7/2010,1266,17
12/8/2010,1301,15
12/9/2010,820,0
12/10/2010,798,8
12/11/2010,802,0
12/12/2010,798,0
12/13/2010,798,0
12/14/2010,808,0
12/15/2010,648,0
12/16/2010,675,0
12/17/2010,620,0
12/18/2010,525,0
12/19/2010,495,0
12/20/2010,540,0
12/21/2010,531,0
12/22/2010,651,0
12/23/2010,450,0
12/24/2010,550,0
12/25/2010,525,0
12/26/2010,500,0
12/27/2010,570,0
12/28/2010,531,0
12/29/2010,630,0
12/30/2010,520,0
12/31/2010,617,0
1/1/2011,558,0
1/2/2011,531,0
1/3/2011,580,0
1/4/2011,570,0
1/5/2011,540,0
1/6/2011,547,0
1/7/2011,484,0
1/8/2011,0,0
1/9/2011,0,0
1/10/2011,0,0
1/11/2011,0,0
1/12/2011,0,0
1/13/2011,0,0
1/14/2011,0,0
1/15/2011,0,0
1/16/2011,0,0
1/17/2011,0,0
1/18/2011,0,0
1/19/2011,0,0
1/20/2011,0,0
1/21/2011,0,0
1/22/2011,0,0
1/23/2011,0,0
1/24/2011,0,0
1/25/2011,0,0
1/26/2011,0,0
1/27/2011,0,0
1/28/2011,0,0
1/29/2011,0,0
1/30/2011,0,0
1/31/2011,0,0
2/1/2011,0,0
2/2/2011,0,0
2/3/2011,0,0
2/4/2011,0,0
2/5/2011,0,0
2/6/2011,0,0
2/7/2011,20,0
2/8/2011,20,0
2/9/2011,20,0
