date,location,race,counts
1969-10-29,Keswick to ACID Dam,Fall,0
1969-10-29,ACID Dam to Highway 44 Bridge,Fall,73
1969-10-29,Highway 44 Bridge to Airport Road Bridge,Fall,423
1969-10-29,Airport Road Bridge to Balls Ferry Bridge,Fall,185
1969-10-29,Balls Ferry Bridge to Battle Creek,Fall,121
1969-10-29,Battle Creek to Jellys Ferry Bridge,Fall,51
1969-10-29,Jellys Ferry Bridge to Bend Bridge,Fall,61
1969-10-29,Bend Bridge to Red Bluff Diversion Dam,Fall,6
1969-10-29,Red Bluff Diversion Dam to Tehama Bridge,Fall,272
1969-10-29,Tehama Bridge To Woodson Bridge,Fall,45
1969-10-29,Woodson Bridge to Hamilton City Bridge,Fall,NA
1969-10-29,Hamilton City Bridge to Ord Ferry Bridge,Fall,NA
1969-10-29,Ord Ferry Bridge To Princeton Ferry,Fall,NA
1970-10-26,Keswick to ACID Dam,Fall,8
1970-10-26,ACID Dam to Highway 44 Bridge,Fall,55
1970-10-26,Highway 44 Bridge to Airport Road Bridge,Fall,92
1970-10-26,Airport Road Bridge to Balls Ferry Bridge,Fall,190
1970-10-26,Balls Ferry Bridge to Battle Creek,Fall,68
1970-10-26,Battle Creek to Jellys Ferry Bridge,Fall,79
1970-10-26,Jellys Ferry Bridge to Bend Bridge,Fall,80
1970-10-26,Bend Bridge to Red Bluff Diversion Dam,Fall,8
1970-10-26,Red Bluff Diversion Dam to Tehama Bridge,Fall,116
1970-10-26,Tehama Bridge To Woodson Bridge,Fall,3
1970-10-26,Woodson Bridge to Hamilton City Bridge,Fall,NA
1970-10-26,Hamilton City Bridge to Ord Ferry Bridge,Fall,NA
1970-10-26,Ord Ferry Bridge To Princeton Ferry,Fall,NA
1970-11-12,Keswick to ACID Dam,Fall,22
1970-11-12,ACID Dam to Highway 44 Bridge,Fall,84
1970-11-12,Highway 44 Bridge to Airport Road Bridge,Fall,204
1970-11-12,Airport Road Bridge to Balls Ferry Bridge,Fall,158
1970-11-12,Balls Ferry Bridge to Battle Creek,Fall,13
1970-11-12,Battle Creek to Jellys Ferry Bridge,Fall,0
1970-11-12,Jellys Ferry Bridge to Bend Bridge,Fall,25
1970-11-12,Bend Bridge to Red Bluff Diversion Dam,Fall,0
1970-11-12,Red Bluff Diversion Dam to Tehama Bridge,Fall,59
1970-11-12,Tehama Bridge To Woodson Bridge,Fall,4
1970-11-12,Woodson Bridge to Hamilton City Bridge,Fall,NA
1970-11-12,Hamilton City Bridge to Ord Ferry Bridge,Fall,NA
1970-11-12,Ord Ferry Bridge To Princeton Ferry,Fall,NA
1971-11-07,Keswick to ACID Dam,Fall,0
1971-11-07,ACID Dam to Highway 44 Bridge,Fall,60
1971-11-07,Highway 44 Bridge to Airport Road Bridge,Fall,119
1971-11-07,Airport Road Bridge to Balls Ferry Bridge,Fall,118
1971-11-07,Balls Ferry Bridge to Battle Creek,Fall,58
1971-11-07,Battle Creek to Jellys Ferry Bridge,Fall,74
1971-11-07,Jellys Ferry Bridge to Bend Bridge,Fall,79
1971-11-07,Bend Bridge to Red Bluff Diversion Dam,Fall,10
1971-11-07,Red Bluff Diversion Dam to Tehama Bridge,Fall,209
1971-11-07,Tehama Bridge To Woodson Bridge,Fall,26
1971-11-07,Woodson Bridge to Hamilton City Bridge,Fall,NA
1971-11-07,Hamilton City Bridge to Ord Ferry Bridge,Fall,NA
1971-11-07,Ord Ferry Bridge To Princeton Ferry,Fall,NA
1971-11-17,Keswick to ACID Dam,Fall,6
1971-11-17,ACID Dam to Highway 44 Bridge,Fall,30
1971-11-17,Highway 44 Bridge to Airport Road Bridge,Fall,52
1971-11-17,Airport Road Bridge to Balls Ferry Bridge,Fall,83
1971-11-17,Balls Ferry Bridge to Battle Creek,Fall,45
1971-11-17,Battle Creek to Jellys Ferry Bridge,Fall,42
1971-11-17,Jellys Ferry Bridge to Bend Bridge,Fall,85
1971-11-17,Bend Bridge to Red Bluff Diversion Dam,Fall,7
1971-11-17,Red Bluff Diversion Dam to Tehama Bridge,Fall,163
1971-11-17,Tehama Bridge To Woodson Bridge,Fall,2
1971-11-17,Woodson Bridge to Hamilton City Bridge,Fall,NA
1971-11-17,Hamilton City Bridge to Ord Ferry Bridge,Fall,NA
1971-11-17,Ord Ferry Bridge To Princeton Ferry,Fall,NA
1971-12-13,Keswick to ACID Dam,Late-Fall,43
1971-12-13,ACID Dam to Highway 44 Bridge,Late-Fall,20
1971-12-13,Highway 44 Bridge to Airport Road Bridge,Late-Fall,52
1971-12-13,Airport Road Bridge to Balls Ferry Bridge,Late-Fall,64
1971-12-13,Balls Ferry Bridge to Battle Creek,Late-Fall,3
1971-12-13,Battle Creek to Jellys Ferry Bridge,Late-Fall,0
1971-12-13,Jellys Ferry Bridge to Bend Bridge,Late-Fall,0
1971-12-13,Bend Bridge to Red Bluff Diversion Dam,Late-Fall,15
1971-12-13,Red Bluff Diversion Dam to Tehama Bridge,Late-Fall,62
1971-12-13,Tehama Bridge To Woodson Bridge,Late-Fall,34
1971-12-13,Woodson Bridge to Hamilton City Bridge,Late-Fall,NA
1971-12-13,Hamilton City Bridge to Ord Ferry Bridge,Late-Fall,NA
1971-12-13,Ord Ferry Bridge To Princeton Ferry,Late-Fall,NA
1972-10-31,Keswick to ACID Dam,Fall,0
1972-10-31,ACID Dam to Highway 44 Bridge,Fall,30
1972-10-31,Highway 44 Bridge to Airport Road Bridge,Fall,54
1972-10-31,Airport Road Bridge to Balls Ferry Bridge,Fall,72
1972-10-31,Balls Ferry Bridge to Battle Creek,Fall,30
1972-10-31,Battle Creek to Jellys Ferry Bridge,Fall,44
1972-10-31,Jellys Ferry Bridge to Bend Bridge,Fall,33
1972-10-31,Bend Bridge to Red Bluff Diversion Dam,Fall,87
1972-10-31,Red Bluff Diversion Dam to Tehama Bridge,Fall,151
1972-10-31,Tehama Bridge To Woodson Bridge,Fall,50
1972-10-31,Woodson Bridge to Hamilton City Bridge,Fall,NA
1972-10-31,Hamilton City Bridge to Ord Ferry Bridge,Fall,NA
1972-10-31,Ord Ferry Bridge To Princeton Ferry,Fall,NA
1972-12-08,Keswick to ACID Dam,Late-Fall,48
1972-12-08,ACID Dam to Highway 44 Bridge,Late-Fall,0
1972-12-08,Highway 44 Bridge to Airport Road Bridge,Late-Fall,53
1972-12-08,Airport Road Bridge to Balls Ferry Bridge,Late-Fall,35
1972-12-08,Balls Ferry Bridge to Battle Creek,Late-Fall,3
1972-12-08,Battle Creek to Jellys Ferry Bridge,Late-Fall,0
1972-12-08,Jellys Ferry Bridge to Bend Bridge,Late-Fall,39
1972-12-08,Bend Bridge to Red Bluff Diversion Dam,Late-Fall,27
1972-12-08,Red Bluff Diversion Dam to Tehama Bridge,Late-Fall,53
1972-12-08,Tehama Bridge To Woodson Bridge,Late-Fall,12
1972-12-08,Woodson Bridge to Hamilton City Bridge,Late-Fall,NA
1972-12-08,Hamilton City Bridge to Ord Ferry Bridge,Late-Fall,NA
1972-12-08,Ord Ferry Bridge To Princeton Ferry,Late-Fall,NA
1973-10-25,Keswick to ACID Dam,Fall,0
1973-10-25,ACID Dam to Highway 44 Bridge,Fall,26
1973-10-25,Highway 44 Bridge to Airport Road Bridge,Fall,29
1973-10-25,Airport Road Bridge to Balls Ferry Bridge,Fall,17
1973-10-25,Balls Ferry Bridge to Battle Creek,Fall,17
1973-10-25,Battle Creek to Jellys Ferry Bridge,Fall,18
1973-10-25,Jellys Ferry Bridge to Bend Bridge,Fall,20
1973-10-25,Bend Bridge to Red Bluff Diversion Dam,Fall,31
1973-10-25,Red Bluff Diversion Dam to Tehama Bridge,Fall,46
1973-10-25,Tehama Bridge To Woodson Bridge,Fall,12
1973-10-25,Woodson Bridge to Hamilton City Bridge,Fall,10
1973-10-25,Hamilton City Bridge to Ord Ferry Bridge,Fall,NA
1973-10-25,Ord Ferry Bridge To Princeton Ferry,Fall,NA
1975-10-14,Keswick to ACID Dam,Fall,0
1975-10-14,ACID Dam to Highway 44 Bridge,Fall,17
1975-10-14,Highway 44 Bridge to Airport Road Bridge,Fall,54
1975-10-14,Airport Road Bridge to Balls Ferry Bridge,Fall,80
1975-10-14,Balls Ferry Bridge to Battle Creek,Fall,44
1975-10-14,Battle Creek to Jellys Ferry Bridge,Fall,44
1975-10-14,Jellys Ferry Bridge to Bend Bridge,Fall,40
1975-10-14,Bend Bridge to Red Bluff Diversion Dam,Fall,5
1975-10-14,Red Bluff Diversion Dam to Tehama Bridge,Fall,251
1975-10-14,Tehama Bridge To Woodson Bridge,Fall,8
1975-10-14,Woodson Bridge to Hamilton City Bridge,Fall,NA
1975-10-14,Hamilton City Bridge to Ord Ferry Bridge,Fall,NA
1975-10-14,Ord Ferry Bridge To Princeton Ferry,Fall,NA
1975-10-23,Keswick to ACID Dam,Fall,22
1975-10-23,ACID Dam to Highway 44 Bridge,Fall,46
1975-10-23,Highway 44 Bridge to Airport Road Bridge,Fall,78
1975-10-23,Airport Road Bridge to Balls Ferry Bridge,Fall,50
1975-10-23,Balls Ferry Bridge to Battle Creek,Fall,28
1975-10-23,Battle Creek to Jellys Ferry Bridge,Fall,52
1975-10-23,Jellys Ferry Bridge to Bend Bridge,Fall,46
1975-10-23,Bend Bridge to Red Bluff Diversion Dam,Fall,5
1975-10-23,Red Bluff Diversion Dam to Tehama Bridge,Fall,109
1975-10-23,Tehama Bridge To Woodson Bridge,Fall,NA
1975-10-23,Woodson Bridge to Hamilton City Bridge,Fall,NA
1975-10-23,Hamilton City Bridge to Ord Ferry Bridge,Fall,NA
1975-10-23,Ord Ferry Bridge To Princeton Ferry,Fall,NA
1975-11-06,Keswick to ACID Dam,Fall,8
1975-11-06,ACID Dam to Highway 44 Bridge,Fall,34
1975-11-06,Highway 44 Bridge to Airport Road Bridge,Fall,25
1975-11-06,Airport Road Bridge to Balls Ferry Bridge,Fall,46
1975-11-06,Balls Ferry Bridge to Battle Creek,Fall,29
1975-11-06,Battle Creek to Jellys Ferry Bridge,Fall,34
1975-11-06,Jellys Ferry Bridge to Bend Bridge,Fall,46
1975-11-06,Bend Bridge to Red Bluff Diversion Dam,Fall,0
1975-11-06,Red Bluff Diversion Dam to Tehama Bridge,Fall,101
1975-11-06,Tehama Bridge To Woodson Bridge,Fall,37
1975-11-06,Woodson Bridge to Hamilton City Bridge,Fall,NA
1975-11-06,Hamilton City Bridge to Ord Ferry Bridge,Fall,NA
1975-11-06,Ord Ferry Bridge To Princeton Ferry,Fall,NA
1975-11-20,Keswick to ACID Dam,Fall,0
1975-11-20,ACID Dam to Highway 44 Bridge,Fall,0
1975-11-20,Highway 44 Bridge to Airport Road Bridge,Fall,0
1975-11-20,Airport Road Bridge to Balls Ferry Bridge,Fall,0
1975-11-20,Balls Ferry Bridge to Battle Creek,Fall,0
1975-11-20,Battle Creek to Jellys Ferry Bridge,Fall,6
1975-11-20,Jellys Ferry Bridge to Bend Bridge,Fall,0
1975-11-20,Bend Bridge to Red Bluff Diversion Dam,Fall,0
1975-11-20,Red Bluff Diversion Dam to Tehama Bridge,Fall,130
1975-11-20,Tehama Bridge To Woodson Bridge,Fall,12
1975-11-20,Woodson Bridge to Hamilton City Bridge,Fall,NA
1975-11-20,Hamilton City Bridge to Ord Ferry Bridge,Fall,NA
1975-11-20,Ord Ferry Bridge To Princeton Ferry,Fall,NA
1975-12-18,Keswick to ACID Dam,Late-Fall,0
1975-12-18,ACID Dam to Highway 44 Bridge,Late-Fall,40
1975-12-18,Highway 44 Bridge to Airport Road Bridge,Late-Fall,99
1975-12-18,Airport Road Bridge to Balls Ferry Bridge,Late-Fall,14
1975-12-18,Balls Ferry Bridge to Battle Creek,Late-Fall,9
1975-12-18,Battle Creek to Jellys Ferry Bridge,Late-Fall,7
1975-12-18,Jellys Ferry Bridge to Bend Bridge,Late-Fall,0
1975-12-18,Bend Bridge to Red Bluff Diversion Dam,Late-Fall,3
1975-12-18,Red Bluff Diversion Dam to Tehama Bridge,Late-Fall,91
1975-12-18,Tehama Bridge To Woodson Bridge,Late-Fall,3
1975-12-18,Woodson Bridge to Hamilton City Bridge,Late-Fall,NA
1975-12-18,Hamilton City Bridge to Ord Ferry Bridge,Late-Fall,NA
1975-12-18,Ord Ferry Bridge To Princeton Ferry,Late-Fall,NA
1976-10-12,Keswick to ACID Dam,Fall,20
1976-10-12,ACID Dam to Highway 44 Bridge,Fall,100
1976-10-12,Highway 44 Bridge to Airport Road Bridge,Fall,146
1976-10-12,Airport Road Bridge to Balls Ferry Bridge,Fall,35
1976-10-12,Balls Ferry Bridge to Battle Creek,Fall,14
1976-10-12,Battle Creek to Jellys Ferry Bridge,Fall,15
1976-10-12,Jellys Ferry Bridge to Bend Bridge,Fall,20
1976-10-12,Bend Bridge to Red Bluff Diversion Dam,Fall,20
1976-10-12,Red Bluff Diversion Dam to Tehama Bridge,Fall,64
1976-10-12,Tehama Bridge To Woodson Bridge,Fall,5
1976-10-12,Woodson Bridge to Hamilton City Bridge,Fall,0
1976-10-12,Hamilton City Bridge to Ord Ferry Bridge,Fall,0
1976-10-12,Ord Ferry Bridge To Princeton Ferry,Fall,0
1976-10-26,Keswick to ACID Dam,Fall,20
1976-10-26,ACID Dam to Highway 44 Bridge,Fall,9
1976-10-26,Highway 44 Bridge to Airport Road Bridge,Fall,153
1976-10-26,Airport Road Bridge to Balls Ferry Bridge,Fall,90
1976-10-26,Balls Ferry Bridge to Battle Creek,Fall,64
1976-10-26,Battle Creek to Jellys Ferry Bridge,Fall,90
1976-10-26,Jellys Ferry Bridge to Bend Bridge,Fall,112
1976-10-26,Bend Bridge to Red Bluff Diversion Dam,Fall,125
1976-10-26,Red Bluff Diversion Dam to Tehama Bridge,Fall,194
1976-10-26,Tehama Bridge To Woodson Bridge,Fall,26
1976-10-26,Woodson Bridge to Hamilton City Bridge,Fall,25
1976-10-26,Hamilton City Bridge to Ord Ferry Bridge,Fall,14
1976-10-26,Ord Ferry Bridge To Princeton Ferry,Fall,3
1976-11-05,Keswick to ACID Dam,Fall,45
1976-11-05,ACID Dam to Highway 44 Bridge,Fall,50
1976-11-05,Highway 44 Bridge to Airport Road Bridge,Fall,60
1976-11-05,Airport Road Bridge to Balls Ferry Bridge,Fall,35
1976-11-05,Balls Ferry Bridge to Battle Creek,Fall,42
1976-11-05,Battle Creek to Jellys Ferry Bridge,Fall,39
1976-11-05,Jellys Ferry Bridge to Bend Bridge,Fall,68
1976-11-05,Bend Bridge to Red Bluff Diversion Dam,Fall,68
1976-11-05,Red Bluff Diversion Dam to Tehama Bridge,Fall,69
1976-11-05,Tehama Bridge To Woodson Bridge,Fall,38
1976-11-05,Woodson Bridge to Hamilton City Bridge,Fall,63
1976-11-05,Hamilton City Bridge to Ord Ferry Bridge,Fall,21
1976-11-05,Ord Ferry Bridge To Princeton Ferry,Fall,13
1977-10-27,Keswick to ACID Dam,Fall,0
1977-10-27,ACID Dam to Highway 44 Bridge,Fall,5
1977-10-27,Highway 44 Bridge to Airport Road Bridge,Fall,70
1977-10-27,Airport Road Bridge to Balls Ferry Bridge,Fall,40
1977-10-27,Balls Ferry Bridge to Battle Creek,Fall,40
1977-10-27,Battle Creek to Jellys Ferry Bridge,Fall,10
1977-10-27,Jellys Ferry Bridge to Bend Bridge,Fall,15
1977-10-27,Bend Bridge to Red Bluff Diversion Dam,Fall,35
1977-10-27,Red Bluff Diversion Dam to Tehama Bridge,Fall,110
1977-10-27,Tehama Bridge To Woodson Bridge,Fall,20
1977-10-27,Woodson Bridge to Hamilton City Bridge,Fall,0
1977-10-27,Hamilton City Bridge to Ord Ferry Bridge,Fall,NA
1977-10-27,Ord Ferry Bridge To Princeton Ferry,Fall,NA
1977-11-03,Keswick to ACID Dam,Fall,0
1977-11-03,ACID Dam to Highway 44 Bridge,Fall,10
1977-11-03,Highway 44 Bridge to Airport Road Bridge,Fall,110
1977-11-03,Airport Road Bridge to Balls Ferry Bridge,Fall,78
1977-11-03,Balls Ferry Bridge to Battle Creek,Fall,110
1977-11-03,Battle Creek to Jellys Ferry Bridge,Fall,50
1977-11-03,Jellys Ferry Bridge to Bend Bridge,Fall,50
1977-11-03,Bend Bridge to Red Bluff Diversion Dam,Fall,50
1977-11-03,Red Bluff Diversion Dam to Tehama Bridge,Fall,185
1977-11-03,Tehama Bridge To Woodson Bridge,Fall,98
1977-11-03,Woodson Bridge to Hamilton City Bridge,Fall,50
1977-11-03,Hamilton City Bridge to Ord Ferry Bridge,Fall,NA
1977-11-03,Ord Ferry Bridge To Princeton Ferry,Fall,NA
1977-11-17,Keswick to ACID Dam,Fall,0
1977-11-17,ACID Dam to Highway 44 Bridge,Fall,0
1977-11-17,Highway 44 Bridge to Airport Road Bridge,Fall,4
1977-11-17,Airport Road Bridge to Balls Ferry Bridge,Fall,0
1977-11-17,Balls Ferry Bridge to Battle Creek,Fall,0
1977-11-17,Battle Creek to Jellys Ferry Bridge,Fall,0
1977-11-17,Jellys Ferry Bridge to Bend Bridge,Fall,30
1977-11-17,Bend Bridge to Red Bluff Diversion Dam,Fall,0
1977-11-17,Red Bluff Diversion Dam to Tehama Bridge,Fall,250
1977-11-17,Tehama Bridge To Woodson Bridge,Fall,65
1977-11-17,Woodson Bridge to Hamilton City Bridge,Fall,84
1977-11-17,Hamilton City Bridge to Ord Ferry Bridge,Fall,NA
1977-11-17,Ord Ferry Bridge To Princeton Ferry,Fall,NA
1977-12-01,Keswick to ACID Dam,Late-Fall,0
1977-12-01,ACID Dam to Highway 44 Bridge,Late-Fall,0
1977-12-01,Highway 44 Bridge to Airport Road Bridge,Late-Fall,0
1977-12-01,Airport Road Bridge to Balls Ferry Bridge,Late-Fall,0
1977-12-01,Balls Ferry Bridge to Battle Creek,Late-Fall,5
1977-12-01,Battle Creek to Jellys Ferry Bridge,Late-Fall,10
1977-12-01,Jellys Ferry Bridge to Bend Bridge,Late-Fall,100
1977-12-01,Bend Bridge to Red Bluff Diversion Dam,Late-Fall,0
1977-12-01,Red Bluff Diversion Dam to Tehama Bridge,Late-Fall,200
1977-12-01,Tehama Bridge To Woodson Bridge,Late-Fall,70
1977-12-01,Woodson Bridge to Hamilton City Bridge,Late-Fall,63
1977-12-01,Hamilton City Bridge to Ord Ferry Bridge,Late-Fall,2
1977-12-01,Ord Ferry Bridge To Princeton Ferry,Late-Fall,NA
1978-10-18,Keswick to ACID Dam,Fall,0
1978-10-18,ACID Dam to Highway 44 Bridge,Fall,18
1978-10-18,Highway 44 Bridge to Airport Road Bridge,Fall,22
1978-10-18,Airport Road Bridge to Balls Ferry Bridge,Fall,104
1978-10-18,Balls Ferry Bridge to Battle Creek,Fall,68
1978-10-18,Battle Creek to Jellys Ferry Bridge,Fall,119
1978-10-18,Jellys Ferry Bridge to Bend Bridge,Fall,116
1978-10-18,Bend Bridge to Red Bluff Diversion Dam,Fall,6
1978-10-18,Red Bluff Diversion Dam to Tehama Bridge,Fall,NA
1978-10-18,Tehama Bridge To Woodson Bridge,Fall,NA
1978-10-18,Woodson Bridge to Hamilton City Bridge,Fall,NA
1978-10-18,Hamilton City Bridge to Ord Ferry Bridge,Fall,NA
1978-10-18,Ord Ferry Bridge To Princeton Ferry,Fall,NA
1978-10-18,Keswick to ACID Dam,Fall,0
1978-10-18,ACID Dam to Highway 44 Bridge,Fall,15
1978-10-18,Highway 44 Bridge to Airport Road Bridge,Fall,31
1978-10-18,Airport Road Bridge to Balls Ferry Bridge,Fall,60
1978-10-18,Balls Ferry Bridge to Battle Creek,Fall,59
1978-10-18,Battle Creek to Jellys Ferry Bridge,Fall,42
1978-10-18,Jellys Ferry Bridge to Bend Bridge,Fall,88
1978-10-18,Bend Bridge to Red Bluff Diversion Dam,Fall,41
1978-10-18,Red Bluff Diversion Dam to Tehama Bridge,Fall,129
1978-10-18,Tehama Bridge To Woodson Bridge,Fall,107
1978-10-18,Woodson Bridge to Hamilton City Bridge,Fall,NA
1978-10-18,Hamilton City Bridge to Ord Ferry Bridge,Fall,NA
1978-10-18,Ord Ferry Bridge To Princeton Ferry,Fall,NA
1978-10-18,Keswick to ACID Dam,Fall,0
1978-10-18,ACID Dam to Highway 44 Bridge,Fall,18
1978-10-18,Highway 44 Bridge to Airport Road Bridge,Fall,23
1978-10-18,Airport Road Bridge to Balls Ferry Bridge,Fall,108
1978-10-18,Balls Ferry Bridge to Battle Creek,Fall,69
1978-10-18,Battle Creek to Jellys Ferry Bridge,Fall,118
1978-10-18,Jellys Ferry Bridge to Bend Bridge,Fall,91
1978-10-18,Bend Bridge to Red Bluff Diversion Dam,Fall,23
1978-10-18,Red Bluff Diversion Dam to Tehama Bridge,Fall,336
1978-10-18,Tehama Bridge To Woodson Bridge,Fall,92
1978-10-18,Woodson Bridge to Hamilton City Bridge,Fall,NA
1978-10-18,Hamilton City Bridge to Ord Ferry Bridge,Fall,NA
1978-10-18,Ord Ferry Bridge To Princeton Ferry,Fall,NA
1978-11-02,Keswick to ACID Dam,Fall,0
1978-11-02,ACID Dam to Highway 44 Bridge,Fall,5
1978-11-02,Highway 44 Bridge to Airport Road Bridge,Fall,66
1978-11-02,Airport Road Bridge to Balls Ferry Bridge,Fall,152
1978-11-02,Balls Ferry Bridge to Battle Creek,Fall,89
1978-11-02,Battle Creek to Jellys Ferry Bridge,Fall,83
1978-11-02,Jellys Ferry Bridge to Bend Bridge,Fall,117
1978-11-02,Bend Bridge to Red Bluff Diversion Dam,Fall,26
1978-11-02,Red Bluff Diversion Dam to Tehama Bridge,Fall,428
1978-11-02,Tehama Bridge To Woodson Bridge,Fall,201
1978-11-02,Woodson Bridge to Hamilton City Bridge,Fall,127
1978-11-02,Hamilton City Bridge to Ord Ferry Bridge,Fall,23
1978-11-02,Ord Ferry Bridge To Princeton Ferry,Fall,NA
1978-11-17,Keswick to ACID Dam,Fall,3
1978-11-17,ACID Dam to Highway 44 Bridge,Fall,22
1978-11-17,Highway 44 Bridge to Airport Road Bridge,Fall,13
1978-11-17,Airport Road Bridge to Balls Ferry Bridge,Fall,73
1978-11-17,Balls Ferry Bridge to Battle Creek,Fall,57
1978-11-17,Battle Creek to Jellys Ferry Bridge,Fall,62
1978-11-17,Jellys Ferry Bridge to Bend Bridge,Fall,63
1978-11-17,Bend Bridge to Red Bluff Diversion Dam,Fall,52
1978-11-17,Red Bluff Diversion Dam to Tehama Bridge,Fall,140
1978-11-17,Tehama Bridge To Woodson Bridge,Fall,152
1978-11-17,Woodson Bridge to Hamilton City Bridge,Fall,94
1978-11-17,Hamilton City Bridge to Ord Ferry Bridge,Fall,26
1978-11-17,Ord Ferry Bridge To Princeton Ferry,Fall,NA
1978-12-01,Keswick to ACID Dam,Late-Fall,1.7
1978-12-01,ACID Dam to Highway 44 Bridge,Late-Fall,0.9
1978-12-01,Highway 44 Bridge to Airport Road Bridge,Late-Fall,2
1978-12-01,Airport Road Bridge to Balls Ferry Bridge,Late-Fall,7.7
1978-12-01,Balls Ferry Bridge to Battle Creek,Late-Fall,16.5
1978-12-01,Battle Creek to Jellys Ferry Bridge,Late-Fall,21
1978-12-01,Jellys Ferry Bridge to Bend Bridge,Late-Fall,35.1
1978-12-01,Bend Bridge to Red Bluff Diversion Dam,Late-Fall,12.3
1978-12-01,Red Bluff Diversion Dam to Tehama Bridge,Late-Fall,111.9
1978-12-01,Tehama Bridge To Woodson Bridge,Late-Fall,36.75
1978-12-01,Woodson Bridge to Hamilton City Bridge,Late-Fall,16.75
1978-12-01,Hamilton City Bridge to Ord Ferry Bridge,Late-Fall,1
1978-12-01,Ord Ferry Bridge To Princeton Ferry,Late-Fall,0
1978-12-15,Keswick to ACID Dam,Late-Fall,8.05
1978-12-15,ACID Dam to Highway 44 Bridge,Late-Fall,8.05
1978-12-15,Highway 44 Bridge to Airport Road Bridge,Late-Fall,25.55
1978-12-15,Airport Road Bridge to Balls Ferry Bridge,Late-Fall,39.55
1978-12-15,Balls Ferry Bridge to Battle Creek,Late-Fall,46.8
1978-12-15,Battle Creek to Jellys Ferry Bridge,Late-Fall,55.35
1978-12-15,Jellys Ferry Bridge to Bend Bridge,Late-Fall,59.85
1978-12-15,Bend Bridge to Red Bluff Diversion Dam,Late-Fall,11.7
1978-12-15,Red Bluff Diversion Dam to Tehama Bridge,Late-Fall,186
1978-12-15,Tehama Bridge To Woodson Bridge,Late-Fall,58.05
1978-12-15,Woodson Bridge to Hamilton City Bridge,Late-Fall,51.2
1978-12-15,Hamilton City Bridge to Ord Ferry Bridge,Late-Fall,7.8
1978-12-15,Ord Ferry Bridge To Princeton Ferry,Late-Fall,3
1979-10-10,Keswick to ACID Dam,Fall,NA
1979-10-10,ACID Dam to Highway 44 Bridge,Fall,30
1979-10-10,Highway 44 Bridge to Airport Road Bridge,Fall,59
1979-10-10,Airport Road Bridge to Balls Ferry Bridge,Fall,219
1979-10-10,Balls Ferry Bridge to Battle Creek,Fall,116
1979-10-10,Battle Creek to Jellys Ferry Bridge,Fall,40
1979-10-10,Jellys Ferry Bridge to Bend Bridge,Fall,66
1979-10-10,Bend Bridge to Red Bluff Diversion Dam,Fall,8
1979-10-10,Red Bluff Diversion Dam to Tehama Bridge,Fall,391
1979-10-10,Tehama Bridge To Woodson Bridge,Fall,38
1979-10-10,Woodson Bridge to Hamilton City Bridge,Fall,6
1979-10-10,Hamilton City Bridge to Ord Ferry Bridge,Fall,2
1979-10-10,Ord Ferry Bridge To Princeton Ferry,Fall,2
1979-10-18,Keswick to ACID Dam,Fall,0
1979-10-18,ACID Dam to Highway 44 Bridge,Fall,0
1979-10-18,Highway 44 Bridge to Airport Road Bridge,Fall,43
1979-10-18,Airport Road Bridge to Balls Ferry Bridge,Fall,89
1979-10-18,Balls Ferry Bridge to Battle Creek,Fall,51
1979-10-18,Battle Creek to Jellys Ferry Bridge,Fall,103
1979-10-18,Jellys Ferry Bridge to Bend Bridge,Fall,69
1979-10-18,Bend Bridge to Red Bluff Diversion Dam,Fall,80
1979-10-18,Red Bluff Diversion Dam to Tehama Bridge,Fall,236
1979-10-18,Tehama Bridge To Woodson Bridge,Fall,96
1979-10-18,Woodson Bridge to Hamilton City Bridge,Fall,42
1979-10-18,Hamilton City Bridge to Ord Ferry Bridge,Fall,0
1979-10-18,Ord Ferry Bridge To Princeton Ferry,Fall,0
1979-11-01,Keswick to ACID Dam,Fall,0
1979-11-01,ACID Dam to Highway 44 Bridge,Fall,0
1979-11-01,Highway 44 Bridge to Airport Road Bridge,Fall,40
1979-11-01,Airport Road Bridge to Balls Ferry Bridge,Fall,34
1979-11-01,Balls Ferry Bridge to Battle Creek,Fall,24
1979-11-01,Battle Creek to Jellys Ferry Bridge,Fall,80
1979-11-01,Jellys Ferry Bridge to Bend Bridge,Fall,22
1979-11-01,Bend Bridge to Red Bluff Diversion Dam,Fall,56
1979-11-01,Red Bluff Diversion Dam to Tehama Bridge,Fall,121
1979-11-01,Tehama Bridge To Woodson Bridge,Fall,102
1979-11-01,Woodson Bridge to Hamilton City Bridge,Fall,101
1979-11-01,Hamilton City Bridge to Ord Ferry Bridge,Fall,25
1979-11-01,Ord Ferry Bridge To Princeton Ferry,Fall,5
1979-11-15,Keswick to ACID Dam,Fall,2
1979-11-15,ACID Dam to Highway 44 Bridge,Fall,0
1979-11-15,Highway 44 Bridge to Airport Road Bridge,Fall,105
1979-11-15,Airport Road Bridge to Balls Ferry Bridge,Fall,167
1979-11-15,Balls Ferry Bridge to Battle Creek,Fall,77
1979-11-15,Battle Creek to Jellys Ferry Bridge,Fall,88
1979-11-15,Jellys Ferry Bridge to Bend Bridge,Fall,59
1979-11-15,Bend Bridge to Red Bluff Diversion Dam,Fall,67
1979-11-15,Red Bluff Diversion Dam to Tehama Bridge,Fall,300
1979-11-15,Tehama Bridge To Woodson Bridge,Fall,155
